ID	DataSet	Text	Off	Slur	Nom	Dist	Cat
D-18207	D	RT @TooFab: Finally! Warner Bros. making superhero films starring a woman, person of color and actor who identifies as "queer" http://t.co/&#8230;	N	N	Y	N	nonNom
D-20135	D	RT @mitchsunderland: Ezra Miller, an openly queer male, is playing the Flash, making him the first openly queer male to play a lead superhe&#8230;	N	N	Y	N	nonNom
D-23313	D	Whoever mocks the poor insults his Maker; he who is glad at calamity will not go unpunished. http://t.co/P7zwAoXi4l	N	N	Y	N	nonNom
M-109a	M	Uhm, @realDonaldTrump is referring to illegals.	N	N	Y	N	nonNom
M-109b	M	Voter ID is totally not about keeping the poors from voting, because the poors can get driver’s licenses	N	N	Y	N	nonNom
M-10a	M	and you would say to Hillary, “as a female, you shouldn’t be running"?	N	N	Y	N	nonNom
M-117a	M	Basically, I think, it’s because Santelli is their kind of guy; he hates the poors, he hates people who want to help the poors, he was trashing Janet Yellen for suggesting that she actually cares about the plight of the unemployed.	N	N	Y	N	nonNom
M-11b	M	If you’re asking me directly, if I would tell Hillary, she’s a female, she shouldn’t run? I might not use those terms exactly, but, if she wants to 	N	N	Y	N	nonNom
M-11c	M	Woke up to the news that Robert Pattinson came out as a gay? Is it true? Oh my Cedric Diggory!	N	N	Y	N	nonNom
M-12b	M	If a poor does its "Cheap" !! If a rich does its a "Trend" :/	N	N	Y	N	nonNom
M-13c	M	Should a male who loves a male and a female who loves a female have all -- all the constitutional rights enjoyed by every American citizen?	N	N	Y	N	nonNom
M-147b	M	I was only saying blaming everything negative some females do on "female nature" is not the basis of any facts.	N	N	Y	N	nonNom
M-15b	M	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	N	N	Y	N	nonNom
M-164b	M	Give us a coupon code for us POORS	N	N	Y	N	nonNom
M-165a	M	I've seen stories circulating over the past few months that claim many illegals are going back to Mexico on their own, that the net flow is actually negative (ie implying Trump is exaggerating the problem or that it will fix itself).	N	N	Y	N	nonNom
M-165b	M	makes voting disproportionate - without citing that you were talking about ALL females and not just the voting population of, usually, 18 and older) not all voters turn-out,	N	N	Y	N	nonNom
M-16a	M	If a female generalized men she would just be a bitter person	N	N	Y	N	nonNom
M-17c	M	Its obvious sarcasm on your part and a bias against me simply for being a female. 	N	N	Y	N	nonNom
M-19a	M	I was opposed to the decision, but we — you can’t just say, “well, they — gays can’t get married now.”	N	N	Y	N	nonNom
M-1a	M	Senator Cruz, some 1,400 people submitted questions on this very hot topic of illegal immigration on Facebook, and a number of them were about the murder of Kate Steinle in San Francisco, allegedly shot down by an illegal.	N	N	Y	N	nonNom
M-208b	M	There was also some angry females like myself against feminism by speaking out by commenting on Yahoo news comments section.	N	N	Y	N	nonNom
M-20a	M	But I felt unhappy because I have never had a female truly like me for who I am.	N	N	Y	N	nonNom
M-211b	M	ya know, you could just hand out some of that isk to us poors.	N	N	Y	N	nonNom
M-21a	M	Procreation argument - a primary objective of marriage is procreation, and gays can't procreate.	N	N	Y	N	nonNom
M-21b	M	When a female posts a status or photo and you comment on it without complimenting it, then doesn't get a Like 	N	N	Y	N	nonNom
M-25a	M	So with a marriage that includes gays, now there is not even a pretension - as for infertile heterosexual couples or couples who didn't want kids - to have anything to do with recognition of paternity.	N	N	Y	N	nonNom
M-26a	M	It should not be understood as gay marriage (ie marriage for gays) but marriage that includes gays (ie the marriage is the same for all and is extended to gays), which is different.	N	N	Y	N	nonNom
M-2a	M	Did you mean Hillary Clinton shouldn’t be president, or no female should be president? 	N	N	Y	N	nonNom
M-39a	M	And why is it only gays that deserve protection from bullying?	N	N	Y	N	nonNom
M-42b	M	I have AS and have always felt like I related far greatly towards a male than towards a female.	N	N	Y	N	nonNom
M-43a	M	When it is not gays vs. straights, it is gays vs. lesbians.	N	N	Y	N	nonNom
M-4a	M	find that quite extraordinary that, there you are, CEO of a company- as a female and yet you say, “a female shouldn’t be president of the country” 	N	N	Y	N	nonNom
M-62b	M	tfw u claim to be a billionaire but still need $ from us poors	N	N	Y	N	nonNom
M-65b	M	It's 2016 & after recent events (the Orlando shooting) you would think that people would have some compassion, but there are people on here laughing about gays getting killed.	N	N	Y	N	nonNom
M-681-F	M	Plus, you complain that you have to give up your money for a female's attention and affection?	N	N	Y	N	nonNom
M-684-F	M	That notion is so far off the deep end, and if one incredibly twisted female did do so, I wouldn't be surprised, but that does not correctly generalize the female population (as on the MGTOW website, they state generalizations are KEY).	N	N	Y	N	nonNom
M-688-F	M	So here let's break the numbers down and end the argument: according to the most recent reports of United States populations, under 15 years of age there are 1.04 males per female.	N	N	Y	N	nonNom
M-690-F	M	And over 64 years of age there are .75 men per female.	N	N	Y	N	nonNom
M-7-F	M	But would you vote for a female who you believed had the qualities to be the president of the United States of America?(	N	N	Y	N	nonNom
M-707-F	M	Hey, man you can't stay in here, I got my female with me.	N	N	Y	N	nonNom
M-709-F	M	I am a female and I identify with that word.	N	N	Y	N	nonNom
M-716-F	M	As a female, this confuses me.	N	N	Y	N	nonNom
M-718-F	M	I’m a woman, I’m a female, and I’m a feminist.	N	N	Y	N	nonNom
M-740-F	M	And remember, all females, no matter what, will always stick together, even if that's against you and she is your mother.	N	N	Y	N	nonNom
M-76-F	M	There's a 50/50 chance that an aborted baby is a female.	N	N	Y	N	nonNom
M-82b	M	Why force gays who want to change to sit down and learn to accept themselves?	N	N	Y	N	nonNom
M-83-F	M	Not only did the movie provide us with a female who saves the day by sacrificing herself for family rather than for a man,	N	N	Y	N	nonNom
M-84-F	M	sacrificing herself for family rather than for a man, but Disney finally gave us a female (Elsa) who has a positive transformation and becomes empowered and independent, realizing her self-worth in	N	N	Y	N	nonNom
M-884-F	M	The bad thing to do with that word would be to say "female reproductive system" to mean a uterus and ovaries, etc., when not all females have that reproductive system and not all who have it are females.	N	N	Y	N	nonNom
M-99a	M	“Ask the gays what they think and what they do, in, not only Saudi Arabia, but many of these countries, and then you tell me—who's your friend, Donald Trump or Hillary Clinton?”	N	N	Y	N	nonNom
D-20274	D	RT @pekholt: Raven Symone's hair be like, "I'm not colored, I'm American." http://t.co/mkx0d4bh2Q	N	N	Y	N	nonNom
M-36	M	You can sit there and say how it is important for gays to have an environment to feel safe in but in the end, you are recruiting youth into a deadly lifestyle that takes 20 years off the average gay person’s life and you are isolating them from the real world. It is a very elitist thing to do.	N	N	Y	N	nonNom
M-46	M	And then if that wasn’t enough you have a million sub-categories of gays-tops, bottoms, bug chasers, gift givers, and every fetish known to man	N	N	Y	N	nonNom
M-49	M	Gays are portrayed as lovable, caring, funny, lighthearted infallible beings. They make putting down homosexual behavior akin to kicking a puppy dog.	N	N	Y	N	nonNom
M-64	M	There are very hurtful things written here & is offensive to me & others. Why is everyone so offended & scared of gays?	N	N	Y	N	nonNom
M-112	M	Trump today in Maine: An illegal arrested 10 times has just been arrested for raping a 12 year old girl. #MAGA #TrumpTrain #tcot #ccot	N	N	Y	N	nonNom
M-187	M	Almost all females go through penis envy as little girls, but males never suffer from "vagina envy".	N	N	Y	N	nonNom
D-218	D	"@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."	N	N	Y	N	nonNom
M-271	M	wtf?  sorry not all females are like that did i see females Reject Rich Men and why they say i wan a good man with Future not this	N	N	Y	N	nonNom
M-281	M	Maybe the reason we ‘gays’ are so ‘angry’ amd ‘depressed’ is because of this bullcrap you say about us.	N	N	Y	N	nonNom
M-311	M	They hate giving anything to the poor, but they also hate paying taxes to support poor people' kids, sooooo...just stand by and watch heads explode.	N	N	Y	N	nonNom
M-313	M	Now some of them are even trying trying to destroy SNAP - they want to literally allow the poor to starve to death.	N	N	Y	N	nonNom
M-325	M	Because apparently not only fuck the poor, but the handicapped as well	N	N	Y	N	nonNom
M-380	M	We are having to finally admit that our delicate coalition is more about FUCK THE POORS than it is anything else!	N	N	Y	N	nonNom
M-381	M	If we admit to class, then we are in real trouble, because all of us who said, "FUCK THE POORS!" end up looking really bad, like "maybe we took too much" or "we didn't really care when we said we did" kind of bad.	N	N	Y	N	nonNom
M-384	M	What they need is less, and for that to happen, we have to get past this FUCK THE POORS bullshit.	N	N	Y	N	nonNom
M-385	M	If they say anything at all other than, "Yeah", it's FUCK THE POORS!	N	N	Y	N	nonNom
M-386	M	ISN'T FUCKING THE POORS JUST AS SHITTY AS IT GETS?	N	N	Y	N	nonNom
M-387	M	FUCK THE POORS, or get to work fixing this shit so we can all enjoy a little bit of life before we tip over for lack of reasonable health care?	N	N	Y	N	nonNom
M-393	M	So who are the poors you’re yelling about f**cking?	N	N	Y	N	nonNom
M-641	M	I do not need you females, and never will. 	N	N	Y	N	nonNom
M-760	M	Whines about feminist facebook posts refers to women as “females”	N	N	Y	N	nonNom
D-3131	D	@DonnerKay @surlyrevenant An enraged 6'4" 290 lb Mike Brown lethal weapon on legs.His hatred 4 the police &amp; whitey added fuel 2 his arsenal	N	N	Y	N	nonNom
D-3729	D	@JayJuice22 @Ish_MallyMal no song I've heard was good is what I mean by he's trash	N	N	Y	N	nonNom
D-3823	D	@JunDishes elissa would call me trash, vile, etc.!	N	N	Y	N	nonNom
D-3976	D	RT @JonnieSantana He's definitely trash. But if Bill Cohwer or Stanford 's head coach want the job I'd hire them . With a new gm of course	N	N	Y	N	nonNom
D-8612	D	Cants da coloreds and da white folk gets along? We all be da same cept da colored men gots da bigga dicks	N	N	Y	N	nonNom
D-10457	D	I do da flow in a temple today fo nuttin. And dat Jew wit the funky hair tell me I subhuman. He tell me I ain't no mo human den a monkey	N	N	Y	N	nonNom
D-14314	D	RINO trash like @SpeakerBoehner, @KarlRove, @FrankLuntz see conservatives as the Democrat Party see blacks . As their slave property. #tcot"	N	N	Y	N	nonNom
D-17892	D	"RT @SweetHunnieLips: Lookie here folks I'm not a chocolate, thick, natural haired female Nudes=trash	N	N	Y	N	nonNom
D-19745	D	RT @gmaslsk: Oh BO-stop with the speech-like you give one tinkers damn about the kids,the poor,any of the crap you are spouting-you've prov&#8230;	N	N	Y	N	nonNom
D-21808	D	That Principal shld be ashamed 'Look at these poor colored kids who WE made smart' They are not your props. #disgusted #morningjoe	N	N	Y	N	nonNom
M-144b	M	I wasn't asking for references about pmsing-i was asking for evidence that "all" females are psychopaths	N	N	Y	N	nonNom
M-17d	M	The other day the gay told me he is on a period and can't have sex he got pains, I was so puzzled and asked how is possible for a man to have a period, he smiled and replied to me by saying, he drank a broolux and have a running stomach,,,	N	N	Y	N	nonNom
M-4b	M	I've spoken to a gay and he says only a very very few gays like being girly but he said straight guys are the one who are really girly but then don't show it out cause they like it that way.	N	N	Y	N	nonNom
M-50a	M	Where I live there are more gays becoming more obvious, what can i do when 85 percent of my friends or work colleagues are gay?	N	N	Y	N	nonNom
M-85b	M	Gays have been treated like trash through out history and until these last few years it's been bashing gays for no good reason at all.	N	N	Y	N	nonNom
M-8b	M	Swear this episode of South Park makes me think of gay twitter when a gay is quitting twitter Lmao	N	N	Y	N	nonNom
WH-930620467h	WH	RT @djolder: And still you call us "minorities." You make no sense. RT @TheAtlantic: This fall, minorities will outnumber white students inâ€¦	N	N	Y	N	nonNom
M-98a	M	DO NOT TRUST THE MEDIA. THIS IS A SET UP. I SAW A GAY MAN PLEADING 2 FELLOW GAYS IN VID YEST. HE KNOW HE WILL B KILLED	N	N	Y	N	nonNom
D-2656	D	BillPeriman @Po_st I bet he would have gone apeshit and killed them all if they attacked Muslims	N	N	Y	N	nonNom
M-357	M	But why does he never consider the impact of inflation on the poor and middle class, through rising food, energy and rental costs, etc.. 	N	N	N	N	nonNone
D-455	D	"Generate ASCII boxes with NodeJS" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T	N	N	N	N	nonNone
D-474	D	"I am a thrill billy..with a hillbilly heart." -@billyraycyrus. HAHAHAHAHA Jesus Murphy!	N	N	N	N	nonNone
D-524	D	"Just follow the yellow brick twitter."	N	N	N	N	nonNone
D-535b	D	I may have done the whitest thing imaginable today . I never thought I would be this white woman.	N	N	N	N	nonNone
D-546	D	"OVO" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;	N	N	N	N	nonNone
D-570	D	"The devil grows inside the hearts of the selfish and wicked  White, brown, yellow and black color is not restricted"	N	N	N	N	nonNone
D-577	D	"They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch"	N	N	N	N	nonNone
D-580	D	"This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet."-@EricaNadine26	N	N	N	N	nonNone
D-584	D	"Two roads diverged in a yellow wood, and I chose the one to J&#246;tunheimr"  - Robert Frost Giant	N	N	N	N	nonNone
D-607	D	"YAH" has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians).....	N	N	N	N	nonNone
D-631	D	"Your teeth are like the stars." "Aww thanks!" "Yeah... yellow and far away from each other."	N	N	N	N	nonNone
D-670	D	#2013Faves RT &#8220;@grahamorama: #Snoop and #Justin are having so much fun at this Charlie Wilson tribute #BETAwards https://t.co/C6NHwUBlXN&#8221;	N	N	N	N	nonNone
D-686	D	#BlessJesus Amos 3:3 - Can two walk together, except they be agreed?	N	N	N	N	nonNone
D-687	D	#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.	N	N	N	N	nonNone
D-688	D	#BlessJesus The #Crown of HIS head to the sole of HIS feet	N	N	N	N	nonNone
D-689	D	#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?	N	N	N	N	nonNone
D-690	D	#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong	N	N	N	N	nonNone
D-708	D	#DegenerateArtist Sniffs whiffy balls involuntary, cuz a FAIRY walks DOWNTOWN HAIRY, #climatechange all our scary sense of hillbilly sneeze&gt;	N	N	N	N	nonNone
D-729	D	#HelloBrookland! We're here at the @MonroeStMarket opening! Serving free samples of cider, vegan sliders, brownies! http://t.co/BW9uYtLQu1	N	N	N	N	nonNone
D-735	D	#IU 8 straight nation #college soccer champions! Wow! #hoosiernation #hoosiers &#9917;&#127942;	N	N	N	N	nonNone
D-736	D	#IU should make me an honorary student, id be way cooler than the other international students. i have my own football card! #hoosiers	N	N	N	N	nonNone
D-753	D	#NP "Centuries" ~FOB	N	N	N	N	nonNone
D-757	D	#NowPlaying : Great White - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6	N	N	N	N	nonNone
D-758	D	#NowPlaying : Ian Hunter - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6	N	N	N	N	nonNone
D-759	D	#NowPlaying : The Doors - The WASP (Texas Radio and the Big Beat) on #1069TheArrow - http://t.co/R5wuXA9jB6	N	N	N	N	nonNone
D-762	D	#PDPLive is on November 10th. Get your early bird tickets from http://t.co/7xcL4Kyiuv @LifeOfShan http://t.co/ZcnP1ljoOW	N	N	N	N	nonNone
D-763	D	#PacerNation 4/4 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers	N	N	N	N	nonNone
D-768	D	#RadioFreeNorthwest 218  Covington reads responses &amp; mocks FBI, Andy on Real Politics, Liv on her awakening, Gretchen  http://t.co/t9JyhAncPR	N	N	N	N	nonNone
D-776	D	#RedSox, focus on the #Orioles that knocked you out last year, and not your hatred of the #Yankees for um-teen years! LOL!	N	N	N	N	nonNone
D-778	D	#Royals 2-1!! Fantastic. Ready for tomorrow's sweep of the disposed O's. #Yankees 4ever except this month.	N	N	N	N	nonNone
D-795	D	#TBT love you forever ling ling &#128115;&#128114;&#128152; @brittneycordova http://t.co/KEcfNjyrwE	N	N	N	N	nonNone
D-797	D	#TRUTH RT @notashley: David is the Charlie Brown of #Scandal	N	N	N	N	nonNone
D-816	D	#WhatImCraving Peanut Butter Oreos &lt;3	N	N	N	N	nonNone
D-821	D	#Yankees	N	N	N	N	nonNone
D-822	D	#Yankees #FireCashman I don't want Arod back.	N	N	N	N	nonNone
D-823	D	#Yankees #Jeter Let him play the entire inning. That's fitting.	N	N	N	N	nonNone
D-824	D	#Yankees #SEC Robertson in. Guy is fantastic. SEC pitcher!!	N	N	N	N	nonNone
D-826	D	#Yankees 6-0. Nine straight hits. Price... Not your night.	N	N	N	N	nonNone
D-829	D	#Yankees I ain't complaining about the Royals win or lose game7. They showed heart. AL ride or die! No flex zone. They earned it!	N	N	N	N	nonNone
D-831	D	#Yankees If Royals have a fire sale. I want the whole team!! Leave Gardner and Tanaka. The rest can please go. Along with Joe and Cash.	N	N	N	N	nonNone
D-832	D	#Yankees Nice bounce back @Michael Kay. Gotta keep this going!	N	N	N	N	nonNone
D-833	D	#Yankees Pineda needed that 6'7. Great play!	N	N	N	N	nonNone
D-834	D	#Yankees Primo! Just got home and the Tanks are on MLB. Finally! And they are winning! Even better. Time to get serious, Sept call up time	N	N	N	N	nonNone
D-836	D	#Yankees take all three games in MoTown, I'm callin' it!!! #MLB	N	N	N	N	nonNone
D-837	D	#Yankees wasted Nu&#241;ez's season #rays #mlb	N	N	N	N	nonNone
D-853	D	#gouache #inktober #oldpainting #mt #tiki #wahine #surf #monkey #bright #happysunday #peace wishing&#8230; http://t.co/l73hiK0IZ8	N	N	N	N	nonNone
D-856	D	#hoosier fans, is cody zeller nominating for this years #NBA draft? #iubb	N	N	N	N	nonNone
D-859	D	#inners Still hanging in. #Yankees we need this win. NFL. It's not SUNDAY!!	N	N	N	N	nonNone
D-860	D	#iubb #1 suiting up again tonight! #Indiana #IU #ncaa #hoosierdaddy #HoosierNation #hoosiers	N	N	N	N	nonNone
D-867	D	#mt #commission #gouache #tiki #wahine #monkey #tubed #surfing #wavesliding #waterwalker #notkook http://t.co/vii3SmGRm3	N	N	N	N	nonNone
D-868	D	#mt #goauche #monkey #oldpainting #vinyl #jazz #lounge http://t.co/hueH4HCxx7	N	N	N	N	nonNone
D-869	D	#mt browngal #gouache #monkey #tiki http://t.co/kFhj8lWhbs	N	N	N	N	nonNone
D-872	D	#np Shy Glizzy - Awwsome (Remix) (Feat. 2 Chainz &amp; A$AP Rocky) via @Spinrilla. http://t.co/OWxtdRKWbC	N	N	N	N	nonNone
D-875	D	#philhughes @Yankees #nyy better then UR whole team	N	N	N	N	nonNone
D-925	D	#portlandia #putabirdonit RT @mightymouse105: The Xbox One would be so much cooler if they put a bird on it	N	N	N	N	nonNone
D-929	D	#rejectedpeanutsspecials Its The Grape Crackhead, Charlie Brown!	N	N	N	N	nonNone
D-931	D	#stateoftheunion would last 15mins if they let the President talk all that standing up clapping is for the birds	N	N	N	N	nonNone
D-938	D	#tikiti - rough mock for the base of what will eventually be an ashtray @ Tiki Ti http://t.co/8zE8aqY0	N	N	N	N	nonNone
D-953	D	&#127813;&#127813;&#127813; RT @GottliebShow: "Killer line?" @SBNationNBA: Josh Smith dropped a killer trash talk line on Kenneth http://t.co/C8d3sJoUpj&#8221;	N	N	N	N	nonNone
D-958	D	&#128027;=&#128176;&#128184; &#8220;@GOALSminded: its true that the early bird.. gets the worm first!&#8221;	N	N	N	N	nonNone
M-995	M	I have a good friend who's an illegal immigrant.	N	N	N	N	nonNone
M-997	M	I don't care if all the illegal immigrants that come here are non-violent, hard-working, good people.	N	N	N	N	nonNone
M-998	M	I think what a lot of people fail to consider about illegal immigration is the damage it does to our economy.	N	N	N	N	nonNone
D-999	D	&#128514;&#128514; maaaaannnn i hope so! RT @ABrown252: @VonshayeB did we get rid of John Legend looking Charlie Batch?	N	N	N	N	nonNone
D-1000	D	&#128514;&#128514; mike calls me t-bird @mikemastroccco	N	N	N	N	nonNone
M-1002	M	In practice, however, many illegal aliens would accept below minimum wage simply to get a job and many corrupt employers would be happy to take advantage of their position.	N	N	N	N	nonNone
M-1004	M	My 5 minute google search led me to a NY times article that discusses the prevalence of wage violations, specifically mentioning a significant percentage relate to illegal immigrants.	N	N	N	N	nonNone
M-1005	M	My entire life, illegal immigration has been an issue, on both sides of the aisle.	N	N	N	N	nonNone
M-1007	M	So imagining that after one year all illegal immigration doesn't stop, that means we save over $100B in year one, and then have no additional wall costs in years 2 and beyond.	N	N	N	N	nonNone
M-1008	M	just curious - how does this affect the democratic voting bloc, if the illegal immigrants being mentioned here make no effort at "learning the language and becoming a citizen".	N	N	N	N	nonNone
M-1009	M	I doubt there's a bunch of illegal immigrants showing up at poling places where Republicans are ahead, like Arizona or Texas.	N	N	N	N	nonNone
M-1010	M	How does illegal immigration help the democratic party?	N	N	N	N	nonNone
M-1011	M	I think the #1 benefactor of illegal immigration are the farmers who hire them.	N	N	N	N	nonNone
M-1012	M	How does a wall affect the illegal immigrants already here?	N	N	N	N	nonNone
M-1014	M	Doing something illegal is illegal.	N	N	N	N	nonNone
M-1015	M	Illegal immigrants aren't illegal.	N	N	N	N	nonNone
M-1016	M	Illegal abortions aren't illegal.	N	N	N	N	nonNone
M-1017	M	illegal things aren't illegal men can be women.	N	N	N	N	nonNone
M-1019	M	They don't see illegal abortions as crimes.	N	N	N	N	nonNone
M-1021	M	Not to sound like a concern troll but what is a "illegal abortion"	N	N	N	N	nonNone
M-1023	M	If abortion is made illegal by the government and someone has it performed anyway, that is an "illegal abortion"	N	N	N	N	nonNone
D-1040	D	&#128525;&#128525;&#128525;    &#8220;@whatskillfeed: i guess ill just trash this drawing because of roster changes...&#128532; http://t.co/2r8wqgE8cR&#8221;	N	N	N	N	nonNone
