COLDID	Annotator	OriginalID	Text	Q1	Q2	Q3	Q4
18	E	M-16b	VOTED illegally 3 times as an illegal! Was shooter in the Cascade Mall. A true Democrat!!!	Y	N	Y	N
18	F	M-16b	VOTED illegally 3 times as an illegal! Was shooter in the Cascade Mall. A true Democrat!!!	Y	N	Y	Y
19	A	M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	N	N	Y	N
19	B	M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	Y	N	Y	N
19	C	M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	Y	N	Y	N
19	D	M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	N	N	N	N
19	E	M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	Y	N	Y	N
19	F	M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	Y	N	Y	N
20	D	M-17b	In NH, too. Race of an illegal was used as an excuse for fleeing a police stop & causing a 6 car pileup, almost killing people! It worked.	Y	N	Y	N
20	E	M-17b	In NH, too. Race of an illegal was used as an excuse for fleeing a police stop & causing a 6 car pileup, almost killing people! It worked.	Y	N	Y	N
20	F	M-17b	In NH, too. Race of an illegal was used as an excuse for fleeing a police stop & causing a 6 car pileup, almost killing people! It worked.	Y	N	Y	N
21	B	M-17c	Its obvious sarcasm on your part and a bias against me simply for being a female. 	N	N	Y	N
21	E	M-17c	Its obvious sarcasm on your part and a bias against me simply for being a female. 	N	N	Y	N
21	F	M-17c	Its obvious sarcasm on your part and a bias against me simply for being a female. 	N	N	Y	N
22	A	M-17d	The other day the gay told me he is on a period and can't have sex he got pains, I was so puzzled and asked how is possible for a man to have a period, he smiled and replied to me by saying, he drank a broolux and have a running stomach,,,	N	Y	Y	N
22	C	M-17d	The other day the gay told me he is on a period and can't have sex he got pains, I was so puzzled and asked how is possible for a man to have a period, he smiled and replied to me by saying, he drank a broolux and have a running stomach,,,	Y	N	Y	N
22	E	M-17d	The other day the gay told me he is on a period and can't have sex he got pains, I was so puzzled and asked how is possible for a man to have a period, he smiled and replied to me by saying, he drank a broolux and have a running stomach,,,	N	N	Y	N
23	A	M-18a	Maybe it's because of their race for you? Is that it? Maybe if an illegal was killed, would that make news?	N	N	Y	N
23	B	M-18a	Maybe it's because of their race for you? Is that it? Maybe if an illegal was killed, would that make news?	Y	N	Y	N
23	C	M-18a	Maybe it's because of their race for you? Is that it? Maybe if an illegal was killed, would that make news?	Y	N	Y	N
24	A	M-18b	The gay said, 'Do we know her from the community center.' And the transwoman said, 'No, bitch; we robbed her.'	Y	Y	Y	N
24	C	M-18b	The gay said, 'Do we know her from the community center.' And the transwoman said, 'No, bitch; we robbed her.'	N	Y	Y	N
24	E	M-18b	The gay said, 'Do we know her from the community center.' And the transwoman said, 'No, bitch; we robbed her.'	Y	N	Y	N
25	A	M-19a	I was opposed to the decision, but we — you can’t just say, “well, they — gays can’t get married now.”	N	N	Y	N
25	C	M-19a	I was opposed to the decision, but we — you can’t just say, “well, they — gays can’t get married now.”	Y	N	Y	N
25	E	M-19a	I was opposed to the decision, but we — you can’t just say, “well, they — gays can’t get married now.”	N	N	Y	N
26	A	M-19b	This is why I don't get first class,what viewing of poors is to be done there	N	N	Y	N
26	B	M-19b	This is why I don't get first class,what viewing of poors is to be done there	N	N	Y	N
26	C	M-19b	This is why I don't get first class,what viewing of poors is to be done there	Y	N	Y	N
26	D	M-19b	This is why I don't get first class,what viewing of poors is to be done there	Y	N	Y	N
26	E	M-19b	This is why I don't get first class,what viewing of poors is to be done there	Y	N	Y	N
26	F	M-19b	This is why I don't get first class,what viewing of poors is to be done there	Y	N	Y	N
27	B	M-20a	But I felt unhappy because I have never had a female truly like me for who I am.	N	N	Y	N
27	E	M-20a	But I felt unhappy because I have never had a female truly like me for who I am.	N	N	Y	N
27	F	M-20a	But I felt unhappy because I have never had a female truly like me for who I am.	N	N	Y	N
28	B	M-20b	currently on a bus like some poor ,I want to make it clear that I am not a poor, I am extremely wealthy, I just take buses to view the poors	Y	N	Y	N
28	D	M-20b	currently on a bus like some poor ,I want to make it clear that I am not a poor, I am extremely wealthy, I just take buses to view the poors	Y	N	Y	Y
28	F	M-20b	currently on a bus like some poor ,I want to make it clear that I am not a poor, I am extremely wealthy, I just take buses to view the poors	Y	N	Y	N
29	A	M-21a	Procreation argument - a primary objective of marriage is procreation, and gays can't procreate.	N	N	Y	N
29	C	M-21a	Procreation argument - a primary objective of marriage is procreation, and gays can't procreate.	Y	N	Y	N
29	E	M-21a	Procreation argument - a primary objective of marriage is procreation, and gays can't procreate.	N	N	Y	N
30	C	M-21b	When a female posts a status or photo and you comment on it without complimenting it, then doesn't get a Like 	Y	N	Y	N
30	E	M-21b	When a female posts a status or photo and you comment on it without complimenting it, then doesn't get a Like 	N	N	Y	N
30	F	M-21b	When a female posts a status or photo and you comment on it without complimenting it, then doesn't get a Like 	N	N	Y	N
31	A	M-22	I prefer to include gays in the definition of marriage.	N	N	Y	N
31	C	M-22	I prefer to include gays in the definition of marriage.	N	N	Y	N
31	E	M-22	I prefer to include gays in the definition of marriage.	N	N	Y	N
32	A	M-23	I actually like the term marriage that includes gays over gay marriage.	N	N	N	N
32	C	M-23	I actually like the term marriage that includes gays over gay marriage.	N	N	Y	N
32	E	M-23	I actually like the term marriage that includes gays over gay marriage.	N	N	Y	N
33	C	M-24	Thanks for that first! Like most of us, I still have a open wound caused by a female.	N	N	Y	N
33	E	M-24	Thanks for that first! Like most of us, I still have a open wound caused by a female.	N	N	Y	N
33	F	M-24	Thanks for that first! Like most of us, I still have a open wound caused by a female.	N	N	Y	N
34	A	M-25a	So with a marriage that includes gays, now there is not even a pretension - as for infertile heterosexual couples or couples who didn't want kids - to have anything to do with recognition of paternity.	N	N	Y	N
34	C	M-25a	So with a marriage that includes gays, now there is not even a pretension - as for infertile heterosexual couples or couples who didn't want kids - to have anything to do with recognition of paternity.	Y	N	Y	N
34	E	M-25a	So with a marriage that includes gays, now there is not even a pretension - as for infertile heterosexual couples or couples who didn't want kids - to have anything to do with recognition of paternity.	N	N	Y	N
35	C	M-25b	Yin is the moon and a female and it is associated with deception, passivity ( passive agressiveness) and sinister.	N	N	Y	N
35	E	M-25b	Yin is the moon and a female and it is associated with deception, passivity ( passive agressiveness) and sinister.	Y	N	Y	N
35	F	M-25b	Yin is the moon and a female and it is associated with deception, passivity ( passive agressiveness) and sinister.	Y	N	Y	N
36	A	M-26a	It should not be understood as gay marriage (ie marriage for gays) but marriage that includes gays (ie the marriage is the same for all and is extended to gays), which is different.	N	N	Y	N
36	C	M-26a	It should not be understood as gay marriage (ie marriage for gays) but marriage that includes gays (ie the marriage is the same for all and is extended to gays), which is different.	N	N	Y	N
36	E	M-26a	It should not be understood as gay marriage (ie marriage for gays) but marriage that includes gays (ie the marriage is the same for all and is extended to gays), which is different.	N	N	Y	N
37	C	M-26b	No good comes from letting a female define what a man is and how a man should live his life.	Y	N	Y	N
37	E	M-26b	No good comes from letting a female define what a man is and how a man should live his life.	Y	N	Y	N
37	F	M-26b	No good comes from letting a female define what a man is and how a man should live his life.	N	N	Y	N
38	A	M-27	yeah dude being poor happens from time to time, but being A Poor is a way of life. LOL. :)	Y	N	Y	N
38	C	M-27	yeah dude being poor happens from time to time, but being A Poor is a way of life. LOL. :)	Y	N	Y	N
38	E	M-27	yeah dude being poor happens from time to time, but being A Poor is a way of life. LOL. :)	N	N	Y	N
39	C	M-28	The MGTOW have every reason to not trust a female. 	Y	N	Y	N
39	E	M-28	The MGTOW have every reason to not trust a female. 	Y	N	Y	N
39	F	M-28	The MGTOW have every reason to not trust a female. 	Y	N	Y	N
40	B	M-29	Providing further evidence that Trump, who is actually a poor, is too stupid to understand the basics of our republic.	Y	N	Y	N
40	D	M-29	Providing further evidence that Trump, who is actually a poor, is too stupid to understand the basics of our republic.	Y	N	Y	Y
40	F	M-29	Providing further evidence that Trump, who is actually a poor, is too stupid to understand the basics of our republic.	Y	N	Y	N
41	C	M-30	As a straight man, i don't like a female (lose interest) acting like she's my equal as in the same or want to dominate, it naturally brings out the 	Y	N	Y	N
41	E	M-30	As a straight man, i don't like a female (lose interest) acting like she's my equal as in the same or want to dominate, it naturally brings out the 	Y	N	Y	N
41	F	M-30	As a straight man, i don't like a female (lose interest) acting like she's my equal as in the same or want to dominate, it naturally brings out the 	Y	N	Y	N
42	B	M-32	My main argument against is that the state shouldn't have any say in marriage whatsoever, not anything against gays.	N	N	Y	N
42	C	M-32	My main argument against is that the state shouldn't have any say in marriage whatsoever, not anything against gays.	N	N	Y	N
42	F	M-32	My main argument against is that the state shouldn't have any say in marriage whatsoever, not anything against gays.	N	N	Y	N
43	B	M-34	Until the government has codified “separate but equal” facilities for gays and straights then there has been no oppression.	N	N	Y	N
43	C	M-34	Until the government has codified “separate but equal” facilities for gays and straights then there has been no oppression.	Y	N	Y	N
43	F	M-34	Until the government has codified “separate but equal” facilities for gays and straights then there has been no oppression.	N	N	Y	N
44	B	M-35a	LOL So a Poor wants to run for President? What does Sanders know about the common American then.	Y	N	Y	N
44	D	M-35a	LOL So a Poor wants to run for President? What does Sanders know about the common American then.	Y	N	Y	Y
44	F	M-35a	LOL So a Poor wants to run for President? What does Sanders know about the common American then.	Y	N	Y	N
45	B	M-35b	When those who use welfare to pay for medication they otherwise could not afford and have to choose between their life and simple self respect are no longer stigmatized, then I will ponder the so called rights of gays.	Y	N	Y	N
45	C	M-35b	When those who use welfare to pay for medication they otherwise could not afford and have to choose between their life and simple self respect are no longer stigmatized, then I will ponder the so called rights of gays.	Y	N	N	N
45	F	M-35b	When those who use welfare to pay for medication they otherwise could not afford and have to choose between their life and simple self respect are no longer stigmatized, then I will ponder the so called rights of gays.	N	N	Y	Y
46	B	M-36	You can sit there and say how it is important for gays to have an environment to feel safe in but in the end, you are recruiting youth into a deadly lifestyle that takes 20 years off the average gay person’s life and you are isolating them from the real world. It is a very elitist thing to do.	N	N	Y	N
46	C	M-36	You can sit there and say how it is important for gays to have an environment to feel safe in but in the end, you are recruiting youth into a deadly lifestyle that takes 20 years off the average gay person’s life and you are isolating them from the real world. It is a very elitist thing to do.	N	N	Y	N
46	F	M-36	You can sit there and say how it is important for gays to have an environment to feel safe in but in the end, you are recruiting youth into a deadly lifestyle that takes 20 years off the average gay person’s life and you are isolating them from the real world. It is a very elitist thing to do.	N	N	Y	Y
47	A	M-37	by the urging of my wife to stop going way over my data i'm now using wifi on my phon like a poor. told her thats not how you get follawers	Y	N	Y	N
47	C	M-37	by the urging of my wife to stop going way over my data i'm now using wifi on my phon like a poor. told her thats not how you get follawers	Y	N	Y	N
47	E	M-37	by the urging of my wife to stop going way over my data i'm now using wifi on my phon like a poor. told her thats not how you get follawers	N	N	Y	N
48	B	M-38	And while hate crimes for gays have been going down, hate crimes for Blacks and White males has been going up!	N	N	Y	N
48	C	M-38	And while hate crimes for gays have been going down, hate crimes for Blacks and White males has been going up!	N	N	Y	N
48	F	M-38	And while hate crimes for gays have been going down, hate crimes for Blacks and White males has been going up!	N	N	Y	N
49	B	M-39a	And why is it only gays that deserve protection from bullying?	N	N	Y	N
49	C	M-39a	And why is it only gays that deserve protection from bullying?	N	N	Y	N
49	F	M-39a	And why is it only gays that deserve protection from bullying?	N	N	Y	Y
50	A	M-39b	Ew, isn't that what poor use for phones or something. How awful that a poor stole your CC info. Such is the state of our country	Y	N	Y	N
50	D	M-39b	Ew, isn't that what poor use for phones or something. How awful that a poor stole your CC info. Such is the state of our country	Y	N	Y	N
50	E	M-39b	Ew, isn't that what poor use for phones or something. How awful that a poor stole your CC info. Such is the state of our country	Y	N	Y	N
51	B	M-42a	I am anti-gay because I feel gays and lesbian deserve a better life then one that seems to be affected by depression, suicide, promiscuity, domestic violence, and alcohol abuse to name just a few things.	Y	N	Y	N
51	C	M-42a	I am anti-gay because I feel gays and lesbian deserve a better life then one that seems to be affected by depression, suicide, promiscuity, domestic violence, and alcohol abuse to name just a few things.	Y	N	Y	N
51	F	M-42a	I am anti-gay because I feel gays and lesbian deserve a better life then one that seems to be affected by depression, suicide, promiscuity, domestic violence, and alcohol abuse to name just a few things.	Y	N	Y	Y
52	C	M-42b	I have AS and have always felt like I related far greatly towards a male than towards a female.	N	N	Y	N
52	E	M-42b	I have AS and have always felt like I related far greatly towards a male than towards a female.	N	N	N	N
52	F	M-42b	I have AS and have always felt like I related far greatly towards a male than towards a female.	N	N	Y	N
53	B	M-43a	When it is not gays vs. straights, it is gays vs. lesbians.	N	N	Y	N
53	C	M-43a	When it is not gays vs. straights, it is gays vs. lesbians.	N	N	Y	N
53	F	M-43a	When it is not gays vs. straights, it is gays vs. lesbians.	Y	N	Y	N
54	B	M-43b	Wisconsin Rep. Will Card Poors For Food At Their Separate And Unequal Welfare Groceries	N	N	Y	N
54	C	M-43b	Wisconsin Rep. Will Card Poors For Food At Their Separate And Unequal Welfare Groceries	Y	N	Y	N
54	F	M-43b	Wisconsin Rep. Will Card Poors For Food At Their Separate And Unequal Welfare Groceries	Y	N	Y	N
55	B	M-45	You only have to read “After the Ball: How America Will Conquer Its Fear and Hatred of Gays in the 90’s” to understand this.	N	N	N	N
55	C	M-45	You only have to read “After the Ball: How America Will Conquer Its Fear and Hatred of Gays in the 90’s” to understand this.	N	N	Y	N
55	F	M-45	You only have to read “After the Ball: How America Will Conquer Its Fear and Hatred of Gays in the 90’s” to understand this.	N	N	Y	N
56	B	M-46	And then if that wasn’t enough you have a million sub-categories of gays-tops, bottoms, bug chasers, gift givers, and every fetish known to man	N	N	Y	N
56	C	M-46	And then if that wasn’t enough you have a million sub-categories of gays-tops, bottoms, bug chasers, gift givers, and every fetish known to man	N	N	Y	N
56	F	M-46	And then if that wasn’t enough you have a million sub-categories of gays-tops, bottoms, bug chasers, gift givers, and every fetish known to man	N	N	Y	N
57	B	M-47	I firmly believe we short change gays by allowing them to live in their sin.	Y	N	Y	N
57	C	M-47	I firmly believe we short change gays by allowing them to live in their sin.	Y	N	Y	N
57	F	M-47	I firmly believe we short change gays by allowing them to live in their sin.	Y	N	Y	Y
58	B	M-48	Oh please more people get killed by dog bites than the number of gays and transvestites murdered each year.	Y	N	Y	N
58	C	M-48	Oh please more people get killed by dog bites than the number of gays and transvestites murdered each year.	Y	N	Y	N
58	F	M-48	Oh please more people get killed by dog bites than the number of gays and transvestites murdered each year.	Y	N	Y	Y
59	B	M-49	Gays are portrayed as lovable, caring, funny, lighthearted infallible beings. They make putting down homosexual behavior akin to kicking a puppy dog.	N	N	N	N
59	C	M-49	Gays are portrayed as lovable, caring, funny, lighthearted infallible beings. They make putting down homosexual behavior akin to kicking a puppy dog.	N	N	Y	N
59	F	M-49	Gays are portrayed as lovable, caring, funny, lighthearted infallible beings. They make putting down homosexual behavior akin to kicking a puppy dog.	N	N	Y	N
60	A	M-50a	Where I live there are more gays becoming more obvious, what can i do when 85 percent of my friends or work colleagues are gay?	N	N	Y	N
60	D	M-50a	Where I live there are more gays becoming more obvious, what can i do when 85 percent of my friends or work colleagues are gay?	Y	N	Y	N
60	E	M-50a	Where I live there are more gays becoming more obvious, what can i do when 85 percent of my friends or work colleagues are gay?	N	N	Y	N
61	A	M-50b	why not just put up a sign saying "no poors allowed" at city limits and leave it at that? jesus.	N	N	Y	N
61	B	M-50b	why not just put up a sign saying "no poors allowed" at city limits and leave it at that? jesus.	Y	N	Y	N
61	C	M-50b	why not just put up a sign saying "no poors allowed" at city limits and leave it at that? jesus.	Y	N	Y	N
61	C	M-50b	why not just put up a sign saying "no poors allowed" at city limits and leave it at that? jesus.	Y	N	Y	N
61	D	M-50b	why not just put up a sign saying "no poors allowed" at city limits and leave it at that? jesus.	Y	N	Y	Y
61	F	M-50b	why not just put up a sign saying "no poors allowed" at city limits and leave it at that? jesus.	N	N	Y	N
62	A	M-53	Well first it affects the society that i live in meaning if your gay you definitely love the more decadent life style, everything associated with “fake” making women feel inferior because most gays I know come with a complex. e.g- “keeping up with the Jones” or “keeping up with the Kardashians” lol…	Y	N	Y	N
62	D	M-53	Well first it affects the society that i live in meaning if your gay you definitely love the more decadent life style, everything associated with “fake” making women feel inferior because most gays I know come with a complex. e.g- “keeping up with the Jones” or “keeping up with the Kardashians” lol…	Y	N	N	N
62	E	M-53	Well first it affects the society that i live in meaning if your gay you definitely love the more decadent life style, everything associated with “fake” making women feel inferior because most gays I know come with a complex. e.g- “keeping up with the Jones” or “keeping up with the Kardashians” lol…	Y	N	Y	N
63	A	M-54	Also gays and homosexuals are going against what God wants man to be with women Homosexuals disgust me.	Y	N	Y	N
63	D	M-54	Also gays and homosexuals are going against what God wants man to be with women Homosexuals disgust me.	Y	N	N	Y
63	E	M-54	Also gays and homosexuals are going against what God wants man to be with women Homosexuals disgust me.	Y	N	Y	N
64	A	M-55	To the person who said I am spreading hate, it is actually people like yourself who won’t speak out and are allowing gays to die these painful deaths because of the acts that they commit that are truly hateful.	N	N	Y	N
64	D	M-55	To the person who said I am spreading hate, it is actually people like yourself who won’t speak out and are allowing gays to die these painful deaths because of the acts that they commit that are truly hateful.	N	N	Y	N
64	E	M-55	To the person who said I am spreading hate, it is actually people like yourself who won’t speak out and are allowing gays to die these painful deaths because of the acts that they commit that are truly hateful.	Y	N	Y	Y
65	A	M-56	Your feeble attempt to equate the struggle of Blacks with the struggle of gays through insipid humor is insulting on so many levels.	N	N	Y	N
65	D	M-56	Your feeble attempt to equate the struggle of Blacks with the struggle of gays through insipid humor is insulting on so many levels.	Y	N	Y	N
65	E	M-56	Your feeble attempt to equate the struggle of Blacks with the struggle of gays through insipid humor is insulting on so many levels.	N	N	Y	N
66	A	M-57	Another huge reason I’m against gays is because their role in politics.	N	N	Y	N
66	D	M-57	Another huge reason I’m against gays is because their role in politics.	Y	N	Y	N
66	E	M-57	Another huge reason I’m against gays is because their role in politics.	Y	N	Y	N
67	A	M-59	However, do not try to equate 400 years of oppression to modern day discrimination of gays.	N	N	Y	N
67	D	M-59	However, do not try to equate 400 years of oppression to modern day discrimination of gays.	Y	N	Y	N
67	E	M-59	However, do not try to equate 400 years of oppression to modern day discrimination of gays.	N	N	Y	N
68	A	M-61	Just like gays have made up their mind to live that lifestyle.	Y	N	Y	N
68	D	M-61	Just like gays have made up their mind to live that lifestyle.	Y	N	Y	Y
68	E	M-61	Just like gays have made up their mind to live that lifestyle.	Y	N	Y	N
69	A	M-62a	And, I hadn’t thought about the fact that gays are fighting for “benefits”, which is really about money.	N	N	Y	N
69	D	M-62a	And, I hadn’t thought about the fact that gays are fighting for “benefits”, which is really about money.	Y	N	Y	N
69	E	M-62a	And, I hadn’t thought about the fact that gays are fighting for “benefits”, which is really about money.	Y	N	Y	N
70	A	M-62b	tfw u claim to be a billionaire but still need $ from us poors	N	N	Y	N
70	B	M-62b	tfw u claim to be a billionaire but still need $ from us poors	Y	N	Y	N
70	C	M-62b	tfw u claim to be a billionaire but still need $ from us poors	N	N	Y	N
70	C	M-62b	tfw u claim to be a billionaire but still need $ from us poors	N	N	Y	N
70	D	M-62b	tfw u claim to be a billionaire but still need $ from us poors	N	N	N	Y
70	F	M-62b	tfw u claim to be a billionaire but still need $ from us poors	Y	N	Y	N
71	A	M-63	You'd think that after the Orlando shooting, Gays would learn	Y	N	Y	N
71	D	M-63	You'd think that after the Orlando shooting, Gays would learn	Y	N	Y	N
71	E	M-63	You'd think that after the Orlando shooting, Gays would learn	Y	N	Y	N
72	A	M-64	There are very hurtful things written here & is offensive to me & others. Why is everyone so offended & scared of gays?	N	N	Y	N
72	D	M-64	There are very hurtful things written here & is offensive to me & others. Why is everyone so offended & scared of gays?	N	N	Y	N
72	E	M-64	There are very hurtful things written here & is offensive to me & others. Why is everyone so offended & scared of gays?	N	N	Y	N
73	A	M-65a	But getting a male to do this in front of a female (to not lie to her) is apparently riddled with too much gut.	N	N	Y	N
73	C	M-65a	But getting a male to do this in front of a female (to not lie to her) is apparently riddled with too much gut.	Y	N	Y	N
73	D	M-65a	But getting a male to do this in front of a female (to not lie to her) is apparently riddled with too much gut.	Y	N	Y	N
74	A	M-65b	It's 2016 & after recent events (the Orlando shooting) you would think that people would have some compassion, but there are people on here laughing about gays getting killed.	N	N	Y	N
74	D	M-65b	It's 2016 & after recent events (the Orlando shooting) you would think that people would have some compassion, but there are people on here laughing about gays getting killed.	N	N	Y	N
74	E	M-65b	It's 2016 & after recent events (the Orlando shooting) you would think that people would have some compassion, but there are people on here laughing about gays getting killed.	N	N	Y	N
75	A	M-66	I do not hate Gays, I would never be Gay	N	N	Y	N
75	D	M-66	I do not hate Gays, I would never be Gay	Y	N	Y	Y
75	E	M-66	I do not hate Gays, I would never be Gay	Y	N	Y	N
76	A	M-67	I am happy I'm a female, and I want a man that is happy to be a man, and is willing to lead his household, and be the provider, but also be THE MAN of the house.	N	N	Y	N
76	C	M-67	I am happy I'm a female, and I want a man that is happy to be a man, and is willing to lead his household, and be the provider, but also be THE MAN of the house.	Y	N	Y	N
76	D	M-67	I am happy I'm a female, and I want a man that is happy to be a man, and is willing to lead his household, and be the provider, but also be THE MAN of the house.	N	N	N	N
77	A	M-68	The one thing i want to point out is that gays can become straight, i read research papers and scientists have found hormonal therapy while a baby is in the womb can lead it to be straight or gay,	N	N	Y	N
77	D	M-68	The one thing i want to point out is that gays can become straight, i read research papers and scientists have found hormonal therapy while a baby is in the womb can lead it to be straight or gay,	Y	N	Y	Y
77	E	M-68	The one thing i want to point out is that gays can become straight, i read research papers and scientists have found hormonal therapy while a baby is in the womb can lead it to be straight or gay,	Y	N	Y	N
78	A	M-71	now thats a start but the fact remains that gays can easily change their sexuality, many gays have done it, there are plenty of ex-gay stories and if a person is truly committed to doing so they can, sexuality isnt set in stone, it can easily be changed.	Y	Y	Y	N
